
mahfuz,mxfo1wto1,محفوظ
mamhuran,memxo1wrebo1,مامخوران
maraş,mraso3,مرعش
mart,merbo2,مارت
mektubat,mkbo2wbu1ebo2,مکتوبات
mektublar,mkbo2wbu1lr,مکتوبلر
mes'ud,msawd,مسعود
mevlâna,mwlebo1e,مولانا
meşihat,mso3yxo1bo2,مشیخت
milas,myles,میلاس
muaz,maedo1,معاذ
muhakemat,mxekmebo2,محاکمات
münacat,mbo1exu1ebo2,مناجات
müslüman,mslmebo1,مسلمان
mısır,mzr,مصر
