
nehrüvan,bo1hrwebo1,نهروان
nemrud,bo1mrwd,نمرود
nihad,bo1hed,نهاد
nisan,bo1ysebo1,نیسان
nu'man,bo1amebo1,نعمان
nuh,bo1wx,نوح
nur,bo1wr,نور
nurs,bo1wrs,نورس
