
kadî-ül-hâcât,fo2ezo1yo5 elxexu1ebo2,قاضئ الحاجات
kahhar,fo2ho8er,قهّار
karun,fo2erwbo1,قارون
kastamonu,fo2stmwbo1y,قسطمونی
kayyum,fo2yo8wm,قیّوم
kelimetullah,klmho2 ello8h,کلمة اللّه
kelâm,klem,کلام
ken'an,kbo1aebo1,کنعان
kerbelâ,krbu1le,کربلا
keçiborlu,kxu3y||bu1wrly,کچی‌بورلی
kiram,krem,کرام
konya,fo2wbo1yh||,قونیه‌
kosova,fo2wzwh||,قوصوه‌
kur'an,fo2reo6bo1,قرآن
kübra,kbu1re,کبرا
kürdistan,krdsbo2ebo1,کردستان
kırım,fo2yrym,قیریم
