Abayhan,آبایخان
Nefer,نفر
Nefi,نفی
Nehar,نهار
Nehip,نهیب
Nehri,نهری
Nejat,نژاد
Nejat,نژات
Nerim,نریم
Nermi,نرمی
Neşet,نشت
Nesil,نسیل
Nesimi,نسیمی
Nesim,نسیم
Nesip,نسیب
Neşit,نشید
Nevfel,نوفل
Nevit,نویت
Nevit,نوید
Nevrettin,نورالدین
Nevri,نوری
Nevsal,نوسال
Neyyiri,نیری
Neyzen,نیزن
Nezahattin,نزاه الدین
Nezihi,نزیهی
Nezih,نزیه
Nezir,نزیر
Niazi,نیازی
Nidai,ندای
Nihai,نهائی
Nihat,نهاد
Nimetullah,نعمت الله
Nişanbay,نشانبای
Nisani,نیسانی
Nişan,نشان
Niyazi,نیازی
Nizamettin,نظام الدین
Nizami,نظامی
Nizam,نظام
Nizar,نظار
Nogay,نوغای
Noyan,نویان
Nuhcan,نوحجان
Nuhkan,نوحقان
Nuh,نوح
Numan,نعمان
Nuralp,نورآلپ
Nurani,نورانی
Nuratay,نورآتای
Nuraydın,نورآیدین
Nurbaki,نورباقی
Nurbay,نوربای
Nurer,نورأر
Nurersin,نور ارسین
Nurettin,نورالدین
Nurihak,نوریحق
Nuri,نوری
Nurşah,نورشاه
Nurtekin,نورتكین
Nurullah,نورالله
Nurzat,نورزاد
Nusret,نصرت
Nusrettin,نصرالدین
Nuyan,نویان
Oba,اوبه
Öbek,اوبك
Oben,اوبن
Obuz,اوبوز
Ocak,اوجاق
Öcal,اوجال
Öçal,اوچال
Ocan,اوجان
Oder,اودر
Odhan,اودخان
Odkanlı,اودقانلی
Odkan,اودقان
Odman,اودمان
Od,اود
Odyakar,اودیاقر
Odyakmaz,اودیاقمز
Odyak,اودیاق
Oflas,اوفلاز
Oflazer,اوفلازر
Oganalp,اوغان آلپ
Oğanalp,اوغان آلپ
Oganer,اوغانر
Oğaner,اوغانر
Ogan,اوغان
Oğan,اوغان
Ogansoy,اوغانصوی
Oğansoy,اوغانصوی
Oğanverdi,اوغان ویردی
Ogeday,اوگه دای
Ögeday,اوگه دای
Öğe,اوگه
Öger,اوگه
Öğet,اوگت
Ögetürk,اوگه ترك
Öğmen,اوگمن
Öğrünç,اوگرونچ
Oğulbalı,اوغول بالی
Oğulbaş,اوغول باش
Oğulbay,اوغول بای
Oğulbey,اوغول بگ
Oğulçak,اوغول چاك
Oğulcan,اوغول جان
Oğul,اوغول
Oğultan,اوغول تان
Oğultekin,اوغول تكین
Oğultürk,اوغول ترك
Öğünç,اوگونچ
Ogün,اوكون
Oğuralp,اوغور آلپ
Oğurata,اوغور آتا
Oğur,اوغور
Öğür,اوگور
Oğuş,اوغوش
Öğütal,اوگوت آل
Oğuzalp,اوغوزآلپ
Oğuzata,اوغوزآتا
Oğuzbala,اوغوز بالا
Oğuzbay,اوغوزبای
Oğuzcan,اوغوزجان
Oğuzer,اوغوزر
Oğuzhan,اوغوزخان
Oğuzkan,اوغوزقان
Oğuzman,اوغوزمان
Oğuz,اوغوز
Oğuztan,اوغوزتان
Oğuztüzün,اوغوزتوزون
Okakın,اوق آقین
Okal,اوق آل
Okanalp,اوقان آلپ
Okanay,اوقانای
Okandan,اوقاندان
Okaner,اوقان أر
Okan,اوقان
Okar,اوقار
Okatan,اوقاتان
Okatar,اوقاتار
Okatay,اوقاتای
Okat,اوقات
Okayer,اوقایر
Okay,اوقای
Okbaş,اوقباش
Okbay,اوقبای
Okboğa,اوقبوغه
Okbudun,اوقبودون
Okcan,اوقجان
Okçun,اوقچون
Okdağ,اوقداغ
Okdemir,اوقدمیر
Ökeer,اوكه أر
Ökelik,اوكه لك
Okergin,اوق ارگین
Öker,اوكر
Okgüçlü,اوق گوچلو
Okgüç,اوق گوچ
Okhan,اوقخان
Okkan,اوققان
Ökkeş,اوككش
Öklü,اوكلو
Okman,اوقمان
Ökmener,اوكمنر
Ökmen,اوكمن
Ök,اوك
Okşak,اوقشاق
Oksaldı,اوقصالدی
Oksalmış,اوقصالمش
Oksal,اوقصال
Oksar,اوقصار
Okşar,اوقشار
Oksay,اوقصای
Okseven,اوقسون
Oksever,اوقسور
Oksev,اوقسو
Oksu,اوقصو
Oktan,اوقتان
Oktar,اوقتار
Oktaş,اوقطش
Oktay,اوقتای
Öktemer,اوكتمر
Öktem,اوكتم
Öktener,اوكتنر
Ökten,اوكتن
Ökte,اوكته
Oktuğ,اوقتوغ
Oktunç,اوقتونچ
Oktunç,اوقطونچ
Oktüremiş,اوقتوره مش
Oktüre,اوقتوره
Oktürk,اوق ترك
Öktürk,اوكترك
Okumuş,اوقوموش
Okur,اوقور
Okuşlu,اوقوشلو
Okuş,اوقوش
Okutan,اوقوتان
Okuyan,اوقویان
Okverdi,اوقویردی
Okver,اوق ویر
Okyalaz,اوقیالاز
Okyan,اوقیان
Okyar,اوقیار
Okyay,اوقیای
Olcabay,اولجا بای
Olcan,اولجان
Olcayhan,اولجای خان
Olcayto,اولجویتو
Olcaytuğ,اولجایتوغ
Olcaytu,اولجایتو
Olcaytürk,اولجای ترك
Ölçüm,اولچوم
Olçun,اولچون
Ölçün,اولچون
Oldaç,اولداچ
Oldağ,اولداغ
Ölen,اولن
Olgaç,اولغاچ
Olgunay,اولغون آی
Olguner,اولغون أر
Olgunsoy,اولغونصوی
Olgunsu,اولغونصو
Olkıvanç,اولقیوانچ
Ölmezbey,اولمزبگ
Olpak,اولپاك
Olsan,اولسان
Oluk,اولوق
Omaca,اوماجا
Omaç,اوماچ
Omay,اومای
Ömer,عمر
Ömüral,عمرآل
Omurca,اومورجا
Omur,اومور
Omurtak,اومورطاق
Önad,اونآد
Önalan,اونآلان
Onan,اونان
Onaran,اوناران
Onar,اونار
Onart,اوڭارت
Onatkan,اوناتقان
Onatkut,اوناتقوت
Onatsü,اوناتسو
Önaydın,اونآیدین
Onbulak,اونبولاق
Öncübay,اونجوبای
Öncüer,اوجوأر
Öncü,اونجو
Önder,اوندر
Önderol,اوندراول
Öndeş,اوندش
Öndüç,اوندوچ
Önel,اونل
Önemli,اونملی
Önen,اونن
Onerim,اونریم
Öneri,اونری
Oner,اونر
Öneş,اونش
Ongan,اونغان
Ongay,اونغای
Öngay,اونغای
Öngel,اونگل
Öngen,اونگن
Öngören,اوڭگورن
Öngör,اوڭگور
Öngör,اونگور
Ongunalp,اونغون آلپ
Onguner,اونغونر
Ongüner,اونگونر
Ongüneş,اونگونش
Ongun,اونغون
Ongün,اونكون
Öngün,اونگون
Öngü,اونگو
Ongunsu,اونغونصو
Ongur,اونغور
Öngüt,اونگوت
Önkal,اونقال
Önol,اونول
Önsal,اونسال
Önsav,اونساو
Önsel,اونسل
Önsel,اوڭسل
Önsoy,اونصوی
Öntaş,اونطش
Onuğ,اونوغ
Onuker,اونوق أر
Onuk,اونوق
Onuktan,اونوقتان
Onuktekin,اونوقتكین
Onul,اونول
Onultan,اونولتان
Onurad,اونورآد
Onural,اونورآل
Onuralp,اونورآلپ
Onurhan,اونورخان
Onurkan,اونورقان
Onurlu,اونورلو
Onur,اونور
Önür,اونور
Onursal,اونورسال
Onursan,اونورسان
Onursay,اونورصای
Onurseven,اونورسون
Onursev,اونورسو
Onursoy,اونورصوی
Onursu,اونورصو
Onursü,اونورسو
Opak,اوپاق
Opçin,اوپچین
Orakay,اوراقای
Orak,اوراق
Oralmış,اورالمش
Oral,اورال
Oranlı,اورانلی
Oran,اوران
Oray,اوران
Orbay,اوربای
Orbek,اوربك
Orcaner,اورجانر
Orcan,اورجان
Orçun,اورچون
Örenel,اورن أل
Örfi,عرفی
Örgen,اورگن
Orgunalp,اورغون آلپ
Orgünalp,اوركون آلپ
Orgun,اورغون
Orgün,اوركون
Orguntay,اورغونتای
Orhan,اورخان
Orhun,اورخون
Örik,اوریك
Orkan,اورقان
Orkun,اورقون
Orkuş,اورقوش
Orkutay,اورقوتای
Orkut,اورقوت
Örsan,اورسان
Örsay,اورصای
Örsel,اورسل
Örskan,اورسقان
Örskan,اورسكان
Örs,اورس
Ortaç,اورتاچ
Ortak,اورتاق
Ortan,اورتان
Örtan,اورتان
Örtaş,اورطش
Örtay,اورتای
Ortunç,اورتونچ
Ortun,اورتون
Oruç,اوروچ
Oruk,اوروق
Örük,اوروك
Orum,اوروم
Öründü,اوروندو
Örüner,اورونر
Orun,اورون
Orus,اوروس
Oruz,اوروز
Öryürek,اوریورك
Oskan,اوصقان
Osman,عثمان
Osmantan,عثمانتان
Otacı,اوتاجی
Otağ,اوتاغ
Otakçı,اوتاقچی
Otak,اوتاق
Otamış,اوتامش
Otaran,اوتاران
Otay,اوتای
Ötnü,اوتنو
Ötüken,اوتوكن
Otuk,اوتوق
Ötün,اوتون
Ötün,اوتوڭ
Öveç,اووچ
Övet,اووت
Övünal,اوگونآل
Oyal,اویال
Oyalp,اویآلپ
Oybozan,اویبوزان
Oyhan,اویخان
Oykan,اویقان
Oykut,اویقوت
Oymak,اویماق
Oyman,اویمان
Öymen,اویمن
Oy,اوی
Oytunç,اویتونچ
Özakan,اوزآقین
Özakar,اوزآقار
Özakay,اوزآقای
Özakıncı,اوزآقینجی
Özakın,اوزآقین
Özaktuğ,اوزآقتوغ
Özalpman,اوزآلپمان
Özalp,اوزآلپ
Özalpsan,اوزآلپسان
Özaltay,اوزآلتای
Özaltuğ,اوزآلتوغ
Ozanalp,اوزانآلپ
Ozanay,اوزانآی
Ozaner,اوزانر
Ozan,اوزان
Ozansoy,اوزانصوی
Ozansü,اوزانسو
Özarda,اوزآردا
Özarı,اوزآری
Özarkın,اوزآرقین
Özark,اوزآرق
Özaslan,اوزآسلان
Özata,اوزآتا
Özatay,اوزآتای
Özayhan,اوزآیخان
Özbağ,اوزباغ
Özbala,اوزبالا
Özbaş,اوزباش
Özbatu,اوزباتو
Özbaydar,اوزبایدار
Özbay,اوزبای
Özbekkan,اوزبكقان
Özberk,اوزبرك
Özbey,اوزبگ
Özbilgin,اوزبیلگین
Özbir,اوزبر
Özboğa,اوزبوغه
Özçam,اوزچام
Özcan,اوزجان
Özcebe,اوزجبه
Özçelik,اوزچلیك
Özçevik,اوزچویك
Özçınar,اوزچینار
Özçın,اوزچین
Özdağ,اوزداغ
Özdamar,اوزدامار
Özdamar,اوزطمر
Özdeğer,اوزدگر
Özdek,اوزدك
Özdel,اوزدل
Özdemir,اوزدمیر
Özden,اوزدن
Özdilmaç,اوزدیلماچ
Özdil,اوزدل
Özdinçer,اوزدینچر
Özdinç,اوزدینچ
Özdoğal,اوزطوغال
Özdoğan,اوزطوغان
Özdoğa,اوزطوغا
Özdoğdu,اوزطوغدی
Özdoğmuş,اوزطوغمش
Özdoğru,اوزطوغری
Özdoruk,اوزطوروق
Özdoru,اوزطورو
Özduran,اوزطوران
Özdurdu,اوزطوردی
Özdurul,اوزطورول
Özdurum,اوزطوروم
Özduru,اوزطورو
Özekan,اوزه قان
Özekan,اوزه كان
Özek,اوزك
Özenç,اوزنچ
Özender,اوزندر
Özengin,اوزنگین
Özen,اوزن
Özercan,اوزرجان
Özerdal,اوزردال
Özerdem,اوزاردم
Özerdim,اوزاردیم
Özerdinç,اوزردينچ
Özerek,اوزرك
Özerhan,اوزرخان
Özerinç,اوزرینچ
Özerkin,اوزركین
Özerkmen,اوزركمن
Özerk,اوزرك
Özerman,اوزرمان
Özer,اوزر
Özerol,اوزرول
Özertan,اوزرتان
Özertem,اوزرتم
Ozgan,اوزغان
Özgebay,اوزگه بای
Özgeci,اوزگه جی
Özgeer,اوزگه أر
Özgenalp,اوزگن آلپ
Özgenay,اوزگنای
Özgenç,اوزگنچ
Özgener,اوزگنر
Özger,اوزگر
Özgiray,اوزگرای
Özgüç,اوزگوچ
Özgüleç,اوزگولچ
Özgünay,اوزگونای
Özgüner,اوزگونر
Özgürcan,اوزگورجان
Özgürel,اوزگورل
Özgüven,اوزگوون
Özhakan,اوزحاقان
Özhan,اوزخان
Özilhan,اوزالحان
Özilter,اوزایلتر
Özinal,اوزاینال
Özkal,اوزقال
Özkan,اوزقان
Özkar,اوزقار
Özkaya,اوزقایا
Özkayra,اوزقیرا
Özke,اوزكه
Özkent,اوزكنت
Özkerman,اوزكرمان
Özker,اوزكر
Özkınal,اوزقینال
Özkınay,اوزقینای
Özkın,اوزقین
Özkoç,اوزقوچ
Özkök,اوزكوك
Özkula,اوزقوله
Özkul,اوزقول
Özkurt,اوزقورت
Özkutal,اوزقوتال
Özkutay,اوزقوتای
Özkutlu,اوزقوتلو
Özkutsal,اوزقوتسال
Özlek,اوزلك
Özlüer,اوزلوأر
Özlütürk,اوزلوترك
Özman,اوزمان
Özmert,اوزمرد
Özmut,اوزموت
Özöğe,اوزوگه
Özoğul,اوزاوغول
Özoğuz,اوزاوغوز
Özokçu,اوزوقچو
Özok,اوزوق
Özoktay,اوزاوقتای
Özol,اوزاول
Özönder,اوزاوندر
Özön,اوزون
Özozan,اوزاوزان
Özpala,اوزپالا
Özpeker,اوزپكر
Özpolat,اوزپولاد
Özpulat,اوزپولاد
Özşahin,اوزشاهین
Özsanlı,اوزصانلی
Özşan,اوزشان
Özşen,اوزشن
Özsoy,اوزصوی
Özsözlü,اوزسوزلو
Özsüer,اوزسوأر
Özsungur,اوزصونغور
Özsun,اوزصون
Özsü,اوزسو
Özsüt,اوزسوت
Öztanır,اوزتانیر
Öztan,اوزتان
Öztarhan,اوزتارخان
Öztaş,اوزطش
Öztaylan,اوزتایلان
Öztay,اوزتای
Öztekin,اوزتكین
Öztek,اوزتك
Öztimur,اوزتیمور
Öztinel,اوزتینل
Öztiner,اوزتینر
Öztin,اوزتین
Öztoklu,اوزطوقلو
Öztoygar,اوزطویغار
Öztunç,اوصطونچ
Öztürk,اوزترك
Özüak,اوزو آق
Özüdoğru,اوزوطوغری
Özü,اوزی
Özüpek,اوزوپك
Özütok,اوزوطوق
Özverdi,اوزویردی
Özveren,اوزورن
Özvermiş,اوزورمش
Özver,اوزور
Özyay,اوزیای
Özyörük,اوزیورك
Özyuva,اوزیووا
Padişah,پادشاه
Pakalın,پاكالین
Pakân,پاكان
Pakbaz,پاكباز
Pakel,پاكل
Paker,پاكر
Paki,پاكی
Pakkan,پاققان
Pakman,پاقمان
Paksan,پاقسان
Pertev,پرتو
Polat,پولاد
Poyraz,پویراز
Rabbani,رابانی
Rabih,رابح
Rabi,رابع
Racih,راجح
Raci,راجی
Radi,رادی
Rafet,رافت
Rafettin,رافع الدین
Rafih,رافه
Rafi,رافی
Ragip,راغب
Ragıp,راغب
Rahim,رحیم
Rahim,راحم
Rahi,راحی
Rahmani,راحمانی
Rahman,رحمان
Rahmeti,رحمتی
Rahmetullah,رحمت الله
Rahmi,رحمی
Raif,رائف
Raik,رائق
Rakım,رقیم
Rakip,راكب
Ramazan,رمضان
Rami,رامی
Ramis,رامس
Ramiz,رامز
Rasih,راسخ
Rasim,راسم
Rasin,رصین
Raşit,راشد
Ratip,راطب
Rauf,روف
Rayet,رایت
Rayıhan,رایخان
Razi,رازی
Razı,راضی
Rebii,ربیعی
Rebi,ربی
Recai,رجائ
Reca,رجا
Recep,رجب
Refettin,رفء الدین
Refiğ,رفیغ
Refih,رفیه
Refii,رفیعی
Refik,رفیق
Refi,رفی
Refi,رفیع
Regaip,رغائب
Rehayeddin,رهای الدین
Rehber,رهبر
Reis,رئیس
Rekin,ركین
Remzi,رمزی
Resai,رسائی
Reşat,رشاد
Reset,رست
Reşididdin,رشیدالدین
Reşid,رشید
Reşik,رشیق
Reşit,رشید
Resmî,رسمی
Resulhan,رسولخان
Resul,رسول
Rezzak,رزاق
Rical,رجال
Rıdvan,رضوان
Rifat,رفعت
Rıfat,رفعت
Rıfkı,رفقی
Rikap,رقاب
Rikap,ركاب
Risalettin,رسال الدین
Rıza,رضا
Rıza,رضی
Rızkullah,رزق الله
Rızvan,رضوان
Ruat,رواد
Ruhani,روحانی
Ruhcan,روحجان
Ruhi,روحی
Ruhittin,روح الدین
Ruhşan,روحشان
Ruhullah,روح الله
Rüknettin,ركن الدین
Rükni,ركنی
Rüknü,ركنو
Rüstem,رستم
Rüştü,رشتی
Rüsuhi,رسوخی
Saadettin,سعد الدین
Sabahattin,صباح الدین
Şaban,شعبان
Sabar,صبار
Sabih,صابح
Sabih,سابح
Sabit,ثابت
Sabri,صبری
Sabur,صبور
Sabutay,صبوتای
Sacit,ساجد
Sadakat,صداقت
Sadak,صداق
Şader,شادر
Sadettin,سعد الدین
Sadık,صادق
Sadi,سعدی
Şadi,شادی
Sadir,سادر
Sadir,صادر
Şad,شاد
Sadrettin,صدرالدین
Sadri,صدری
Sadullah,سعدالله
Sadun,سادون
Safder,صفدر
Safer,صفر
Saffet,صفت
Safi,صفی
Safi,صافی
Şafi,شافی
Safiyüddin,صفي الدین
Safter,صفتر
Sağanak,صغاناق
Sağanalp,صغانآلپ
Sağan,صغان
Sağbilge,صاغ بیلگه
Sağbudun,صاغ بودون
Sağcan,صاغجان
Sağdıç,صاغدیچ
Sağınç,صاغینچ
Sağın,صاغن
Sağıt,صاغیت
Sağlamer,صاغلامر
Sağlam,صاغلام
Sağlar,صاغلر
Sağlık,صاغلق
Sağman,صاغمان
Sağun,صاغون
Şahabettin,شهاب الدین
Sahabi,صحابه
Şahadet,شهادت
Şahadettin,شهاد الدین
Şahan,شاهان
Şahap,شاهاپ
Şahat,شاهات
Şahbaz,شاهباز
Şahbey,شاهبگ
Şahdar,شاهدار
Şahinalp,شاهن آلپ
Şahinbay,شاهن بای
Şahinbey,شاهن بگ
Şahiner,شاهنر
Şahinhan,شاهنخان
Şahinkan,شاهنقان
Şahin,شاهن
Şahinter,شاهنتر
Sahip,صاحب
Sahir,ساحر
Şahistan,شاهستان
Şahittin,شاه الدین
Şahlan,شاهلان
Şah,شاه
Şahruh,شاهروح
Şahsüvar,شاهسوار
Şahvelet,شاهولد
Şahzade,شهزاده
Şahzat,شاهزات
Said,سعید
Şaik,شائق
Saim,صائم
Saip,صائب
Sair,سائر
Şair,شاعر
Sait,سعید
Saka,ساقه
Sakin,ساكن
Sakın,صاقین
Saki,ساقی
Sakıp,ثاقب
Şakir,شاكر
Sakman,صاقمان
Sak,صاق
Salâhattin,صلاح الدین
Salâhi,صلاحی
Salâh,صلاح
Salan,صلان
Sala,صلا
Salâr,صلار
Salcan,صلجان
Saldam,صلدام
Salgur,صلغور
Salih,صالح
Salıkbey,صلیق بگ
Salık,صلیق
Salim,سالم
Salis,ثالث
Salkın,صلقین
Salman,سلمان
Sal,صال
Sal,سال
Saltık,صلتیق
Saltı,صلتی
Saltukalp,صلتوق آلپ
Saltuk,صلتوق
Salurbay,صلوربای
Salur,صلور
Sâmân,صامان
Samet,صمد
Samih,سامح
Şamih,شامخ
Şamil,شامل
Samimi,صمیمی
Samim,صمیم
Samin,ثامن
Samin,سامن
Sami,سامع
Samir,سامر
Samir,ثامر
Samuray,صمورآی
Samurtay,صمورتای
Sanaç,صاناچ
Sanak,صاناق
Sanalp,صان آلپ
Şanalp,شان آلپ
Sanat,صنعت
Sanbay,صانبای
Sanberk,صانبرك
Sancak,سنجاق
Sancaktar,سنجاقدار
Sancarhan,صانجارخان
Sancar,صانجار
Sançar,صانچار
Sanduç,صاندوچ
Saner,صانر
Şaner,شانر
Sanih,سانح
Sani,صانع
Sani,ثانی
Şanlıbay,شانلیبای
Sanlı,صانلی
Şanlı,شانلی
San,صان
Sanşın,صانشین
Sanver,صانور
Sanver,صان ویر
Şanver,شانور
Şanver,شان ویر
Saraç,سراچ
Saral,صرآل
Saran,صاران
Şarbay,شاربای
Sarbek,صاربك
Sargan,صارغان
Sargınal,صارغینآل
Sargut,صارغوت
Sarıalp,صاری آلپ
Sarıbay,صاری بای
Sarıcabay,صاریجه بای
Sarıçam,صاری چام
Sarıca,صاریجه
Sarıer,صاری أر
Sarıhan,صاروخان
Sarıkaya,صاریقایا
Şarık,شارق
Sarim,صارم
Sarim,صریم
Sarıtaş,صاریطش
Sarkan,صارقان
Sar,صار
Şar,شار
Sarper,صارپر
Sarphan,صارپخان
Sarpkan,صارپقان
Sarpkın,صارپقین
Sarpkoç,صارپقوچ
Sarp,صارپ
Sartık,صارتیق
Sart,صارت
Saruca,صاروجه
Saruhan,صاروخان
Saru,صارو
Sarvan,صاروان
Satıbey,ساطع بگ
Satıbey,صاتی بگ
Satılmış,صاتیلمش
Sâtı,ساطع
Sâtı,صاتی
Şatır,شطیر
Satukbuğra,صتوق بوغرا
Satuk,صتوق
Satvet,سطوت
Savacı,صاواجی
Savak,صاواق
Sava,صاوا
Savaşan,صاواشن
Savaşer,صاواشر
Savaşkan,صاواشقان
Savaş,صاواش
Savat,صوات
Saver,ساور
Savgat,صاوغات
Savlet,ساولت
Savni,صونی
Sav,ساو
Savran,ساوران
Şavsal,شاوسال
Savtekin,ساوتكین
Savtunç,ساوتونچ
Savtur,صاوتور
Savun,صاون
Sayan,سایان
Saya,سایه
Saybay,سایبای
Saygılı,سایغیلی
Sayhan,سایخان
Sayılbay,صاییلبای
Sayılgan,صاییلغان
Sayım,صاییم
Sayınberk,صایین برك
Sayınbey,صایین بگ
Sayıner,صایین أر
Saykal,صایقال
Saykut,صایقوت
Saylam,صایلام
Saylan,صایلان
Saylav,صایلاو
Saylu,صایلو
Saymaner,صایمان أر
Sayman,صایمان
Say,صای
Sayraç,صایراچ
Sayrak,صایرق
Sayrı,صایری
Sayru,صایرو
Sayvan,صایوان
Sayyat,صیاد
Sazak,سازاق
Sazak,سازاك
Şazi,شازی
Sebahattin,صباح الدین
Şebap,شباب
Sebati,ثباتی
Sebih,سبیح
Sebükalp,سبوق آلپ
Sebük,سبوق
Sebüktekin,سبوق تكین
Şecaat,شجاعت
Secahat,سجاحت
Seçen,سچن
Seçim,سچیم
Seçkiner,سچكین أر
Seçmeer,سچمه أر
Seçmener,سچمن أر
Seçmen,سچمن
Seçme,سچمه
Sedat,سداد
Sedit,سدید
Şefaattin,شفاع الدین
Sefa,سفا
Sefa,صفا
Seferî,سفری
Sefer,سفر
Şefik,شفیق
Seğmen,سگمن
Şehadet,شهادت
Şehadettin,شهاد الدین
Şehâlem,شهالم
Şehamet,شهامت
Sehhar,سحار
Şehim,شهیم
Sehi,سهی
Şehinşah,شهینشاه
Şehlevent,شهلوند
Şehmuz,شهموز
Şeh,شه
Sehran,سهران
Şehsüvar,شهسوار
Şehzade,شهزاده
Şehzat,شهزاد
Şekip,شكیپ
Şekûr,شكور
Selahattin,صلاح الدین
Selâhattin,صلاح الدین
Selâhi,سلاحی
Selâh,سلاح
Selâmettin,سلام الدین
Selâmi,سلامی
Selâm,سلام
Selâmullah,سلام الله
Selâtin,سلاطین
Selçuker,سلچوق أر
Selçukkan,سلچوققان
Selçuk,سلچوق
Selekman,سلكمان
Selekmen,سلكمن
Selek,سلك
Seler,سلر
Selgüç,سلگوچ
Selim,سلیم
Selkan,سلقان
Selman,سلمان
Selmi,سلمی
Selok,سلوق
Şemail,شمائل
Semai,سمائی
Semai,سماعی
Semavi,سماوی
Şemdin,شمدین
Semender,سمندر
Semih,سمیح
Şemim,شمیم
Şemi,شمی
Semiray,سمیرآی
Semir,سمیر
Şemsettin,شمس الدین
Şemsi,شمسی
Şems,شمس
Semuh,سموخ
Senai,ثنائی
Şenal,شنآل
Şenalp,شنآلپ
Şenaltan,شن آلتان
Şenbay,شنبای
Sencan,سنجان
Sencer,سنجر
Şendur,شندور
Şenel,شنل
Sener,سنر
Şener,شنر
Senger,سنگر
Senih,سنیخ
Senî,سنی
Şenlen,شنلن
Şenlik,شنلیك
Senol,سنول
Şenol,شنول
Şensal,شنسال
Şensen,شنسن
Şensoy,شنصوی
Şentürk,شن ترك
Şenyaşar,شن یاشار
Şenyurt,شنیورد
Serad,سراد
Şerafet,شرافت
Şerafettin,شراف الدین
Seralp,سرآلپ
Serazat,سرازات
Serbay,سربای
Serbülent,سربلند
Sercan,سرجان
Sercihan,سرجیهان
Serdal,سردال
Serdarhan,سردارخان
Serdar,سردار
Serdengeçti,سردنگچتی
Serdinç,سردینچ
Şerefhan,شرفخان
Şeref,شرف
Serener,سرن أر
Şeren,شرن
Sergen,سرگن
Sergin,سرگین
Serhan,سرخان
Serhas,سرخاص
Serhat,سرخد
Serhenk,سرهنك
Serhun,سرخون
Şerif,شریف
Serimer,سریم أر
Serim,سریم
Serkan,سرقان
Serkut,سرقوت
Serol,سرول
Sertan,سرتان
Sertel,سرتل
Serter,سرتر
Sertuğ,سرتوغ
Server,سرور
Şeşen,ششن
Settar,ستار
Sevener,سون أر
Sevgideğer,سوگی دگر
Sevgün,سوكون
Seviğ,سویغ
Sevik,سویق
Sevindik,سویندق
Şevket,شوكت
Şevki,شوكی
Sevük,سووق
Sevüktekin,سووق تكین
Seyda,سیدا
Seydi,سیدی
Seyfali,سیف علی
Seyfettin,سیف الدین
Seyfi,سیفی
Seyfullah,سیف الله
Seyhan,سیخان
Seyhun,سیحون
Seyithan,سیدخان
Seyit,سید
Seymen,سیمن
Şeyyat,شییاد
Sezai,سزائی
Sezer,سزر
Sezginbaş,سزگین باش
Sezgin,سزگین
Sezim,سزیم
Sezi,سزی
Seziş,سزیش
Sezmen,سزمن
Sıba,صیبا
Sıdal,صیدال
Sıdam,صدام
Sıdar,صدار
Sıddık,صدیق
Şide,شیده
Sıdkı,صدقی
Sığın,صیغین
Sılan,صیلان
Sılgın,صیلغین
Simavi,سماوی
Şimşad,شیمشاد
Şimşeker,شیمشكر
Şimşekhan,شیمشكخان
Şimşekkan,شیمشكقان
Şimşek,شیمشك
Sinan,سنان
Sina,سینا
Sina,ثنا
Şinasi,شناسی
Şinaver,شناور
Singin,سینگین
Sıngın,صینغین
Şınık,شینیق
Sipahi,سپاهی
Şipal,شیپال
Siper,سیپر
Siracettin,سراج الدین
Siraç,سیراج
Sıral,صیرال
Sıralp,صیرآلپ
Sırat,صراط
Sirer,سیرر
Sirmen,سیرمن
Sırrı,سری
Şirvan,شیروان
Şirzat,شیرزاد
Sıtkı,صدقی
Siyavuş,سیاووش
Sıylıhan,صیلیخان
Sıylı,صیلی
Siyret,سیرت
Söğüt,سوگوت
Söğüt,سوگود
Sökmener,سوكمنر
Sökmen,سوكمن
Sökmensüer,سكمن سوأر
Sökmensü,سوكمنسو
Somel,صوم أل
Somer,صوم أر
Som,صوم
Sonad,صون آد
Sonalp,صون آلپ
Sonbay,صون بای
Sondal,صون دال
Soner,صونر
Soner,صوڭر
Songun,صونغون
Songurhan,صونغورخان
Songurkan,صونغورقان
Songur,صونغور
Sönmezalp,سونمزآلپ
Sönmezer,سونمزأر
Soral,صورال
Sorguç,صورغوچ
Sorgun,صورغون
Sorkun,صورقون
Soyak,صویاق
Soyalp,صوی آلپ
Soydaner,صویدان أر
Soydan,صویدان
Soydaş,صویداش
Soydinçer,صویدینچر
Soydinç,صویدینچ
Soyer,صوی أر
Soygüven,صویگوون
Soykal,صویقال
Soykök,صویكوك
Soykurt,صویقورت
Soykut,صویقوت
Soylubay,صویلو بای
Soylubey,صویلو بگ
Soyluer,صویلوأر
Soylu,صویلو
Soyöz,صویوز
Soysaldı,صویصالدی
Soysal,صویصال
Soysaltürk,صویال ترك
Soysan,صویصان
Soyselçuk,صوی سلچوق
Soytekin,صویتكین
Soyuer,صویوأر
Soyugür,صویو گور
Soyupak,صویو پاك
Soyurgal,صویورغال
Sözal,سوزآل
Sözer,سزر
Sözmen,سوزمن
Sözüsöz,سوزی سوز
Sualp,صوآلپ
Süalp,سوآلپ
Suat,سعاد
Suavi,سعاوی
Şuayp,شعیب
Subaşı,صوباشی
Sübaşı,سوباشی
Sübaş,سوباش
Subay,صوبای
Subegi,صوبگی
Subhi,صبحی
Subutay,صبوطای
Suca,صوجه
Südaş,سوداش
Sudi,سودی
Süel,سوأل
Süerdem,سواردم
Süerden,سواردن
