âbâ,آباء
bilvasıta,بِالْوَاسِطَه
bil'umûm,بِالْعُمُومْ
bil'akis,"بِالْعَكِسْ "
binâ,بِنَا
binâen,"بِنَاءً "
binâenaleyh,"بِنَاءً عَلَيْهْ "
binniyet,بِالنِّيَتْ
binniyye,"بِالنِّيَه "
birâder,بِرَادَرْ
birader-i misâlî,بِرَادَرِ مِثَالِي
bismillâh,بِسْمِ اللّٰهْ
bittecrübe,"بِالتَّجْرُبَه "
bittasavvur,بِالتَّصَوُّرْ
bîtaraf,"ب۪ي طَرَفْ "
bizâtihî,"بِذَاتِه۪ "
bizzât,بِالذَّاتْ
bolşevik,بُولْشَوِيكْ
bolşevizm,"بُولْشَوِيزِمْ "
bülend,بُلَنْدْ
büryân,"بِرْيَانْ "
bu'd,"بُعْدْ "
bu'diyet,"بُعْدِيَتْ "
buhrân,"بُحْرَانْ "
buhrân-ı rûhî,"بُحْرَانِ رُوح۪ي "
buhul,بُخْلْ
burhân,بُرْهَانْ
burhân-ı bâhir,"بُرْهَانِ بَاهِرْ "
burhân-ı küllî,بُرْهَانِ كُلِّي
burhân-ı mâddî,بُرْهَانِ مَادِّي
burhân-ı neyyir,بُرْهَانِ نَيِّرْ
burhân-ı nûr-efşân,بُرْهَانِ نُورْ اَفْشَانْ
burhân-ı sĀtı',بُرْهَانِ سَاطِعْ
burhân-ı vahdâniyet,بُرْهَانِ وَحْدَانِيَتْ
burhân-ı yakînî,بُرْهَانِ يَقِينِي
burhan-ı a'zam,بُرْهَانِ اَعْظَمْ
burjuva,"بُورْژُووَه "
burak,"بُرَاقْ "
butlân,"بُطْلَانْ "
ba'demâ,بَعْدَمَا
bahâ,بَهَا
bahâdır,"بَهَادِرْ "
bahir,بَحِرْ
bahrî,بَحْرِي
bahr-i hakîkat,"بَحْرِ حَق۪يقَتْ "
bahr-i muhît,بَحْرِ مُح۪يطْ
bahr-i muhît-i garbî,بَحْرِ مُح۪يطِ غَرْب۪ي
bahr-i muhît-i havaî,"بَحْرِ مُح۪يطِ هَوَائ۪ي "
bahr-i muhît-i şarkî,"بَحْرِ مُح۪يطِ شَرْق۪ي "
bahr-i ahmer,بَحْرِ اَحْمَرْ
bahş,"بَحْشْ "
baht,بَخْتْ
bahtiyar,بَخْتِيَارْ
banknot,"بَانْقْنُوطْ "
basîr,"بَص۪يرْ "
basîret,"بَص۪يرَتْ "
basît,بَسِيطْ
bast,بَسْطْ
